City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
660,Iquitos,PE,86.04,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
661,Huarmey,PE,70.39,clear sky,-10.0681,-78.1522,Hotel Miramar
663,Vitry-Le-Francois,FR,72.01,scattered clouds,48.7333,4.5833,Hôtel Tambourin
669,Malakal,SS,84.6,overcast clouds,9.5334,31.6605,Nile Palace Hotel
671,Bo Phloi,TH,80.31,light rain,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
673,Mandiana,GN,82.89,light rain,10.6333,-8.6833,Motels rouzo
683,Buluang,PH,76.86,overcast clouds,13.3068,123.3425,Sacueza Beach Resort
684,Whithorn,JM,87.06,overcast clouds,18.2604,-78.0378,Sunset Heal
687,Catuday,PH,78.89,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
688,Mangrol,IN,84.42,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
689,Grand Gaube,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
691,Bandarbeyla,SO,80.69,scattered clouds,9.4942,50.8122,JABIR HOTEL
699,Innisfail,AU,71.2,overcast clouds,-17.5333,146.0333,Moondarra Motel
703,Santa Quiteria Do Maranhao,BR,80.22,scattered clouds,-3.5156,-42.5467,Hotel Santa Quiteria
704,Agadir,MA,75.65,few clouds,30.4202,-9.5982,Iberostar Founty Beach
